NAME,ABBREV,LAT,LON,GEOID
Alaska,AK,61.370716,-152.404419,02
Alabama,AL,32.806671,-86.79113,01
Arkansas,AR,34.969704,-92.373123,05
Arizona,AZ,33.729759,-111.431221,04
California,CA,36.116203,-119.681564,06
Colorado,CO,39.059811,-105.311104,08
Connecticut,CT,41.597782,-72.755371,09
Delaware,DE,39.318523,-75.507141,10
Florida,FL,27.766279,-81.686783,12
Georgia,GA,33.040619,-83.643074,13
Hawaii,HI,21.094318,-157.498337,15
Iowa,IA,42.011539,-93.210526,19
Idaho,ID,44.240459,-114.478828,16
Illinois,IL,40.349457,-88.986137,17
Indiana,IN,39.849426,-86.258278,18
Kansas,KS,38.5266,-96.726486,20
Kentucky,KY,37.66814,-84.670067,21
Louisiana,LA,31.169546,-91.867805,22
Massachusetts,MA,42.230171,-71.530106,25
Maryland,MD,39.063946,-76.802101,24
Maine,ME,44.693947,-69.381927,23
Michigan,MI,43.326618,-84.536095,26
Minnesota,MN,45.694454,-93.900192,27
Missouri,MO,38.456085,-92.288368,29
Mississippi,MS,32.741646,-89.678696,28
Montana,MT,46.921925,-110.454353,30
North Carolina,NC,35.630066,-79.806419,37
North Dakota,ND,47.528912,-99.784012,38
Nebraska,NE,41.12537,-98.268082,31
New Hampshire,NH,43.452492,-71.563896,33
New Jersey,NJ,40.298904,-74.521011,34
New Mexico,NM,34.840515,-106.248482,35
Nevada,NV,38.313515,-117.055374,32
New York,NY,42.165726,-74.948051,36
Ohio,OH,40.388783,-82.764915,39
Oklahoma,OK,35.565342,-96.928917,40
Oregon,OR,44.572021,-122.070938,41
Pennsylvania,PA,40.590752,-77.209755,42
Rhode Island,RI,41.680893,-71.51178,44
South Carolina,SC,33.856892,-80.945007,45
South Dakota,SD,44.299782,-99.438828,46
Tennessee,TN,35.747845,-86.692345,47
Texas,TX,31.054487,-97.563461,48
Utah,UT,40.150032,-111.862434,49
Virginia,VA,37.769337,-78.169968,51
Vermont,VT,44.045876,-72.710686,50
Washington,WA,47.400902,-121.490494,53
Wisconsin,WI,44.268543,-89.616508,55
West Virginia,WV,38.491226,-80.954453,54
Wyoming,WY,42.755966,-107.30249,56
